Time,sequence,locationID,holding
03/25/2021 11:08:07 am,10.8,101.6,91.6
03/25/2021 11:08:07 am,10.9,101.6,91.6
03/25/2021 11:08:08 am,11,101.6,91.6
03/25/2021 11:08:08 am,11.1,101.6,91.6
03/25/2021 11:08:08 am,11.2,101.6,91.6
03/25/2021 11:08:08 am,11.3,101.6,91.6
03/25/2021 11:08:08 am,11.4,101.6,91.6
03/25/2021 11:08:08 am,11.5,101.5,91.6
03/25/2021 11:08:08 am,11.6,101.5,91.6
03/25/2021 11:08:08 am,11.7,101,91.7
03/25/2021 11:08:08 am,11.8,100.7,91.7
03/25/2021 11:08:08 am,11.9,100.7,91.6
03/25/2021 11:08:09 am,12,100.7,91.6
03/25/2021 11:08:09 am,12.1,100.7,91.6
03/25/2021 11:08:09 am,12.2,100.7,91.7
03/25/2021 11:08:09 am,12.3,100.7,91.6
03/25/2021 11:08:09 am,12.4,100.7,91.6
03/25/2021 11:08:09 am,12.5,100.7,91.7
03/25/2021 11:08:09 am,12.6,100.7,91.6
03/25/2021 11:08:09 am,12.7,100.7,91.6
03/25/2021 11:08:09 am,12.8,100.7,91.7
03/25/2021 11:08:09 am,12.9,100.7,91.6
03/25/2021 11:08:10 am,13,100.7,91.6
03/25/2021 11:08:10 am,13.1,100.7,91.6
03/25/2021 11:08:10 am,13.2,100.7,91.7
03/25/2021 11:08:10 am,13.3,100.7,91.6
03/25/2021 11:08:10 am,13.4,100.7,91.6
03/25/2021 11:08:10 am,13.5,100.7,91.6
03/25/2021 11:08:10 am,13.6,100.7,91.7
03/25/2021 11:08:10 am,13.7,100.7,91.6
03/25/2021 11:08:10 am,13.8,100.7,91.7
03/25/2021 11:08:10 am,13.9,100.7,91.6
03/25/2021 11:08:11 am,14,100.6,91.6
03/25/2021 11:08:11 am,14.1,100.6,91.7
03/25/2021 11:08:11 am,14.2,100.7,91.6
03/25/2021 11:08:11 am,14.3,100.6,91.6
03/25/2021 11:08:11 am,14.4,100.6,91.7
03/25/2021 11:08:11 am,14.5,100.6,91.6
03/25/2021 11:08:11 am,14.6,100.6,91.6
03/25/2021 11:08:11 am,14.7,100.7,91.6
03/25/2021 11:08:11 am,14.8,100.6,91.6
03/25/2021 11:08:11 am,14.9,100.7,91.6
03/25/2021 11:08:12 am,15,100.6,91.7
03/25/2021 11:08:12 am,15.1,100.6,91.6
03/25/2021 11:08:12 am,15.2,100.6,91.7
03/25/2021 11:08:12 am,15.3,100.6,91.7
03/25/2021 11:08:12 am,15.4,100.6,91.6
03/25/2021 11:08:12 am,15.5,100.6,91.6
03/25/2021 11:08:12 am,15.6,100.6,91.6
03/25/2021 11:08:12 am,15.7,100.6,91.6
03/25/2021 11:08:12 am,15.8,100.6,91.7
03/25/2021 11:08:12 am,15.9,100.6,91.7
03/25/2021 11:08:13 am,16,100.6,91.6
03/25/2021 11:08:13 am,16.1,100.6,91.7
03/25/2021 11:08:13 am,16.2,100.6,91.6
03/25/2021 11:08:13 am,16.3,100.6,91.6
